,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Esperance,73,AU,1584314613,93,-33.87,121.9,64.4,5.82
1,Port Elizabeth,75,ZA,1584314989,93,-33.92,25.57,62.6,4.7
2,Broken Hill,0,AU,1584315019,37,-31.95,141.43,68.0,13.87
3,Qaanaaq,100,GL,1584314549,61,77.48,-69.36,-3.8,7.52
4,Manokwari,100,ID,1584314629,69,-0.87,134.08,76.86,2.35
5,Ouadda,52,CF,1584315022,33,8.08,22.4,70.34,3.53
6,Evensk,100,RU,1584314989,74,61.95,159.23,13.96,14.38
7,Butaritari,0,KI,1584314492,79,3.07,172.79,84.18,13.78
8,Saskylakh,100,RU,1584314586,96,71.92,114.08,-8.37,20.74
9,Busselton,35,AU,1584314356,76,-33.65,115.33,60.01,7.43
10,Puno,40,PE,1584315018,50,-15.83,-70.03,57.2,8.05
11,Lyaskelya,100,RU,1584315029,85,61.77,31.02,31.23,15.03
12,Cervo,33,ES,1584315030,76,43.67,-7.41,50.0,2.89
13,Mahébourg,40,MU,1584314732,88,-20.41,57.7,73.99,3.36
14,Kasongo-Lunda,100,CD,1584315033,96,-6.47,16.82,69.82,0.54
15,Tautira,20,PF,1584315034,62,-17.73,-149.15,89.6,6.93
16,Avarua,100,CK,1584314947,79,-21.21,-159.78,84.2,6.93
17,Ushuaia,75,AR,1584314659,71,-54.8,-68.3,55.4,19.46
18,Port Alfred,100,ZA,1584314901,98,-33.59,26.89,62.01,1.01
19,Dumas,90,US,1584315038,81,35.87,-101.97,42.8,4.7
20,Codrington,0,AU,1584315039,77,-38.27,141.97,58.5,15.14
21,Albany,1,US,1584314724,47,42.6,-73.97,41.0,12.75
22,Panguipulli,0,CL,1584315042,56,-39.63,-72.33,68.0,5.82
23,Itaituba,88,BR,1584315043,99,-4.28,-55.98,69.85,1.3
24,Anloga,16,GH,1584315044,81,5.79,0.9,82.8,13.56
25,Punta Arenas,75,CL,1584314681,72,-53.15,-70.92,59.0,16.11
26,Hambantota,8,LK,1584314730,79,6.12,81.12,79.07,6.82
27,Grindavik,90,IS,1584314882,95,63.84,-22.43,35.6,38.03
28,Belyy Yar,100,RU,1584315049,85,53.6,91.39,39.2,6.71
29,Pacific Grove,90,US,1584314940,62,36.62,-121.92,55.4,8.05
30,Iqaluit,90,CA,1584314549,76,63.75,-68.51,-4.0,6.93
31,Lebu,0,CL,1584314637,74,-37.62,-73.65,56.95,9.91
32,Ronda,20,ES,1584315053,93,36.74,-5.17,59.0,2.24
33,Faya,0,SA,1584315054,87,18.39,42.45,57.2,4.7
34,Sittwe,18,MM,1584315055,71,20.15,92.9,70.21,5.68
35,Cape Town,20,ZA,1584314488,63,-33.93,18.42,64.4,19.46
36,George Town,20,MY,1584314954,94,5.41,100.34,78.01,2.24
37,La Trinidad,0,PH,1584315059,65,16.45,120.59,76.19,0.92
38,Champerico,75,GT,1584315060,62,14.3,-91.92,86.0,9.17
39,Dikson,100,RU,1584314644,100,73.51,80.55,-13.11,7.56
40,Bethel,1,US,1584314727,24,41.37,-73.41,48.99,9.17
41,Chui,100,UY,1584314892,71,-33.7,-53.46,64.0,6.35
42,Puerto Colombia,20,CO,1584314860,74,10.99,-74.95,80.6,30.04
43,Kaitangata,69,NZ,1584314915,81,-46.28,169.85,53.38,33.15
44,Chapais,1,CA,1584315067,54,49.78,-74.85,5.0,4.7
45,Rikitea,92,PF,1584314685,81,-23.12,-134.97,79.11,12.15
46,Isangel,100,VU,1584314990,81,-19.55,169.27,83.23,24.45
47,Atuona,5,PF,1584314539,65,-9.8,-139.03,82.42,9.31
48,Upernavik,1,GL,1584314985,75,72.79,-56.15,-23.03,8.03
49,Puerto Ayora,20,EC,1584314844,78,-0.74,-90.35,82.4,10.29
50,Halifax,40,CA,1584314812,50,44.65,-63.57,30.99,5.82
51,Kargasok,100,RU,1584315075,99,59.06,80.86,35.24,13.53
52,Västerås,100,SE,1584315076,87,59.62,16.55,45.0,16.11
53,Hilo,90,US,1584314562,74,19.73,-155.09,78.8,12.75
54,Avera,1,US,1584315078,82,33.19,-82.53,69.8,2.3
55,Mataura,89,NZ,1584314619,83,-46.19,168.86,55.0,10.0
56,Pangnirtung,100,CA,1584314723,96,66.15,-65.71,-20.67,3.94
57,Greeneville,90,US,1584315081,87,36.16,-82.83,55.0,3.06
58,Brewster,1,US,1584314982,24,41.4,-73.62,48.99,9.17
59,Hervey Bay,76,AU,1584315084,57,-25.3,152.85,79.0,18.34
60,Vanimo,100,PG,1584315085,83,-2.67,141.3,77.85,8.3
61,Saint-Philippe,100,RE,1584314591,69,-21.36,55.77,75.2,11.41
62,Houma,1,US,1584315087,64,29.6,-90.72,82.4,10.29
63,Khadro,40,PK,1584315088,72,26.15,68.72,62.6,4.7
64,Yar-Sale,8,RU,1584315089,99,66.83,70.83,-12.68,3.27
65,Auki,100,SB,1584314723,72,-8.77,160.7,84.85,7.9
66,Vao,60,NC,1584314815,72,-22.67,167.48,81.59,33.78
67,Cabo San Lucas,75,MX,1584314639,64,22.89,-109.91,73.0,5.82
68,Basco,43,PH,1584314999,71,20.45,121.97,70.3,24.16
69,Elmira,1,US,1584315095,24,42.09,-76.81,37.99,12.75
70,Magistral'nyy,94,RU,1584315096,86,56.17,107.45,25.92,6.49
71,Okahandja,90,NA,1584315097,56,-21.98,16.92,73.99,4.7
72,Bredasdorp,72,ZA,1584314620,68,-34.53,20.04,66.2,12.75
73,Haines Junction,11,CA,1584315100,83,60.75,-137.51,28.27,2.68
74,Bambous Virieux,40,MU,1584314573,88,-20.34,57.76,73.99,3.36
75,Arraial do Cabo,5,BR,1584314729,78,-22.97,-42.03,80.6,13.87
76,Ust-Nera,66,RU,1584315103,94,64.57,143.2,-18.49,3.02
77,Carnarvon,40,AU,1584314748,88,-24.87,113.63,75.2,9.17
78,Payo,99,ID,1584315105,97,-3.75,103.64,70.27,1.05
79,Mar del Plata,3,AR,1584314462,63,-38.0,-57.56,61.0,6.93
80,Bluff,87,NZ,1584314733,83,-46.6,168.33,55.0,10.0
81,Qinhuangdao,37,CN,1584315109,45,39.93,119.59,32.83,7.87
82,Guerrero Negro,0,MX,1584315110,62,27.98,-114.06,63.68,16.82
83,Vaini,90,TO,1584314469,79,-21.2,-175.2,86.0,13.87
84,Vila Velha,20,BR,1584315112,83,-20.33,-40.29,79.0,3.36
85,Kisanga,99,TZ,1584315113,97,-7.44,37.7,73.9,2.35
86,Olafsvik,100,IS,1584314636,78,64.89,-23.71,31.71,22.41
87,Aykhal,90,RU,1584314987,92,66.0,111.5,21.2,4.47
88,Axum,100,ET,1584315116,42,14.12,38.72,60.24,2.77
89,Inuvik,5,CA,1584315118,60,68.35,-133.72,6.8,6.93
90,Oranjemund,0,NA,1584315119,89,-28.55,16.43,61.32,7.47
91,Khatanga,89,RU,1584314569,90,71.97,102.5,-26.88,10.8
92,Lugovoy,98,KZ,1584315121,28,42.95,72.76,47.84,4.99
93,Jamestown,1,US,1584314615,40,42.1,-79.24,37.4,11.41
94,Baruun-Urt,51,MN,1584315123,81,46.68,113.28,23.05,12.73
95,Port Blair,70,IN,1584315124,74,11.67,92.75,82.54,11.63
96,Ponta do Sol,40,PT,1584315126,63,32.67,-17.1,62.6,14.99
97,Mandalī,3,IQ,1584315127,75,33.75,45.55,61.93,1.63
98,Huarmey,90,PE,1584314735,63,-10.07,-78.15,75.9,3.74
99,São João do Paraíso,96,BR,1584315129,97,-15.31,-42.01,65.16,3.15
